observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,scientificName,count,lifeStage,sex,behavior,individualID,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationComments
35595edc-59bd-49cc-af28-5ecbd2a9973c,DIOPSIS-231_Boer5_-_Controle_1,567cd8d8-415b-41c9-b9f4-1035f0d326ee,,2025-06-06T20:52:54,2025-06-06T20:52:54,detection,animal,Chironomidae,1,,,,object_76,0.50399734420649,0.535101521809896,0.030641635391667976,0.039910481770833006,machine,Diopsis 2025,,0.996608376502991,"{body_length_mm: 4.53198067109534}, {biomass_mg: 1.59646287398873}"
9e07077d-8e16-4ec4-8248-b832d8b3fe4d,DIOPSIS-231_Boer5_-_Controle_1,567cd8d8-415b-41c9-b9f4-1035f0d326ee,,2025-06-06T20:52:54,2025-06-06T20:52:54,detection,animal,Chironomidae,1,,,,object_57,0.712746901981819,0.963230590820312,0.030163288912509967,0.03676940917968796,machine,Diopsis 2025,,0.998688876628876,"{body_length_mm: 8.62493059988071}, {biomass_mg: 8.67278353639922}"
1206ce39-9df1-4d0f-9cd3-3f1cc62ce507,DIOPSIS-231_Boer5_-_Controle_1,567cd8d8-415b-41c9-b9f4-1035f0d326ee,,2025-06-06T20:52:54,2025-06-06T20:52:54,detection,animal,Crambidae,1,,,,object_74,0.120924909843228,0.49907704671224,0.051351047318448015,0.06774431016709997,machine,Diopsis 2025,,0.920859664678574,"{body_length_mm: 7.06705714610135}, {biomass_mg: 5.13592627607852}"
3907747a-99af-45e9-ac14-7c13c6a5e371,DIOPSIS-231_Boer5_-_Controle_1,567cd8d8-415b-41c9-b9f4-1035f0d326ee,,2025-06-06T20:52:54,2025-06-06T20:52:54,detection,unknown,Too small for identification,1,,,,object_68,0.0721307986964765,0.112238625420464,0.0442978249169355,0.05927126566569099,machine,Diopsis 2025,,1.0,"{body_length_mm: 1.79545506775698}, {biomass_mg: 0.139829980768682}"
dbcf884f-d52d-4c70-b03c-ed65cbfbbe01,DIOPSIS-231_Boer5_-_Controle_1,055225fd-afaf-4839-9023-b49776ae5706,,2025-06-06T21:12:27,2025-06-06T21:12:27,detection,animal,Chironomidae,1,,,,object_124,0.788181769827969,0.770862019856771,0.051373107604471,0.06830824110242995,machine,Diopsis 2025,,0.994207859039307,"{body_length_mm: 8.25953216151183}, {biomass_mg: 7.73952102794206}"
35b5a81c-4b5e-4e3a-9141-0f0ef7c41a47,DIOPSIS-231_Boer5_-_Controle_1,055225fd-afaf-4839-9023-b49776ae5706,,2025-06-06T21:12:27,2025-06-06T21:12:27,detection,animal,Crambidae,1,,,,object_116,0.266164305214094,0.650688680013021,0.04976609473634397,0.06820231119791698,machine,Diopsis 2025,,0.936696290969849,"{body_length_mm: 6.85491863916479}, {biomass_mg: 4.74031623960289}"
10d50a62-7c33-44fa-b3ee-ca0d902ff489,DIOPSIS-231_Boer5_-_Controle_1,055225fd-afaf-4839-9023-b49776ae5706,,2025-06-06T21:12:27,2025-06-06T21:12:27,detection,animal,Limoniidae,1,,,,object_115,0.137114905355769,0.428303968641493,0.052850993925422,0.07080596923828097,machine,Diopsis 2025,,0.528637111186981,"{body_length_mm: 7.8525989519995}, {biomass_mg: 6.7765171744272}"
57fdf773-c5a5-44b7-8ca8-4463bddd16fc,DIOPSIS-231_Boer5_-_Controle_1,055225fd-afaf-4839-9023-b49776ae5706,,2025-06-06T21:12:27,2025-06-06T21:12:27,detection,unknown,Too small for identification,1,,,,object_113,0.575179467814196,0.876924099392361,0.025659016655362965,0.03394863552517391,machine,Diopsis 2025,,1.0,"{body_length_mm: 1.81229079611288}, {biomass_mg: 0.143304751996689}"
bbebcd76-b3fd-414f-b496-d42a1fd80eee,DIOPSIS-231_Boer5_-_Controle_1,637d67bd-d072-4201-b917-bd800f1d39cc,,2025-06-06T22:27:33,2025-06-06T22:27:33,detection,animal,Crambidae,1,,,,object_263,0.328615624836968,0.517658928765191,0.05058846449812199,0.06742048475477391,machine,Diopsis 2025,,0.82644909620285,"{body_length_mm: 10.9552842924921}, {biomass_mg: 16.2678987128688}"
dd48380a-b4ee-4628-b9d4-95e39de03e7f,DIOPSIS-231_Boer5_-_Controle_1,637d67bd-d072-4201-b917-bd800f1d39cc,,2025-06-06T22:27:33,2025-06-06T22:27:33,detection,animal,Crambidae,1,,,,object_272,0.778208380748513,0.894010416666667,0.04715633233122907,0.06305704752604102,machine,Diopsis 2025,,0.994591265916825,"{body_length_mm: 14.4843570980071}, {biomass_mg: 33.906753754037}"
9092ab6a-b96d-48ae-a423-6cedc8e6ecdd,DIOPSIS-231_Boer5_-_Controle_1,4adc9ef1-9693-4783-b96c-85f22b312d58,,2025-06-07T20:23:17,2025-06-07T20:23:17,detection,animal,Chironomidae,1,,,,object_311,0.328808257496218,0.234557868109809,0.056424199838272016,0.076140882703993,machine,Diopsis 2025,,0.999863028526306,"{body_length_mm: 9.54009201651108}, {biomass_mg: 11.3069246232678}"
36762b09-ed1c-45f9-99ec-1b6fd201d0f7,DIOPSIS-231_Boer5_-_Controle_1,5861cfad-ad91-459e-adaf-ee2c25835b32,,2025-06-08T19:35:08,2025-06-08T19:35:08,detection,unknown,Chironomidae,1,,,,object_342,0.635309184333916,0.353656819661458,0.02551646543066599,0.033310445149739965,machine,Diopsis 2025,,0.499959886074066,"{body_length_mm: 8.83437909383004}, {biomass_mg: 9.237707725427}"
e213b408-a523-4474-ab0a-d1447ac6e763,DIOPSIS-231_Boer5_-_Controle_1,5861cfad-ad91-459e-adaf-ee2c25835b32,,2025-06-08T19:35:08,2025-06-08T19:35:08,detection,animal,Crambidae,1,,,,object_343,0.270767594020633,0.0174515533447265,0.05312425107112201,0.0729574330647787,machine,Diopsis 2025,,0.954486966133118,"{body_length_mm: 6.53128902794948}, {biomass_mg: 4.17415305518216}"
d4fd47df-f88d-40d7-b2e1-87bf15621bc4,DIOPSIS-231_Boer5_-_Controle_1,f60af766-7232-4a03-a85f-52ed33b5005a,,2025-06-09T08:23:47,2025-06-09T08:23:47,detection,unknown,Crambidae,1,,,,object_439,0.762950610636869,0.362576293945313,0.02305141952081602,0.030568474663627998,machine,Diopsis 2025,,0.497231870889664,"{body_length_mm: 3.29806537011101}, {biomass_mg: 0.692058977936692}"
8b30f6a6-b79c-4abd-960e-1cd0543d365c,DIOPSIS-231_Boer5_-_Controle_1,917255f3-beab-4615-8fa1-81b6ad8e66bf,,2025-06-09T08:28:38,2025-06-09T08:28:38,detection,animal,Formicidae,1,,,,object_440,0.951181147452786,0.230808478461372,0.022750115752816935,0.03008405897352398,machine,Diopsis 2025,,0.572159826755524,"{body_length_mm: 4.46969605844259}, {biomass_mg: 1.53940315887953}"
69e50eb5-fd9d-4e25-b50c-7d1e10535cd5,DIOPSIS-231_Boer5_-_Controle_1,ca895dca-aed9-450d-9df1-b23e2f4e0edf,,2025-06-09T20:39:38,2025-06-09T20:39:38,detection,animal,Chironomidae,1,,,,object_495,0.588993078878209,0.589299519856771,0.025724688038006094,0.03419440375434002,machine,Diopsis 2025,,0.826444923877716,"{body_length_mm: 4.3087094578275}, {biomass_mg: 1.39783019323561}"
87e74c8b-5243-4609-9e37-76efc866d744,DIOPSIS-231_Boer5_-_Controle_1,c03286a7-c4fe-4cbb-baa5-ccb9c6574638,,2025-06-09T20:40:10,2025-06-09T20:40:10,detection,animal,Aphididae,1,,,,object_500,0.786428868671092,0.289047309027778,0.021890426915953998,0.028884921603732017,machine,Diopsis 2025,,0.945367634296417,"{body_length_mm: 5.17783839998718}, {biomass_mg: 2.26637509282531}"
bcf4fb28-7b45-4303-b2e4-d1e1f7ee3f7e,DIOPSIS-231_Boer5_-_Controle_1,c03286a7-c4fe-4cbb-baa5-ccb9c6574638,,2025-06-09T20:40:10,2025-06-09T20:40:10,detection,animal,Diptera,1,,,,object_495,0.587006226604888,0.587551405164931,0.028895204572725985,0.03823574490017301,machine,Diopsis 2025,,0.784303486347199,"{body_length_mm: 4.87333083946129}, {biomass_mg: 1.37836766570965}"
93068a9b-c83a-4147-8d47-655729297336,DIOPSIS-231_Boer5_-_Controle_1,c03286a7-c4fe-4cbb-baa5-ccb9c6574638,,2025-06-09T20:40:10,2025-06-09T20:40:10,detection,animal,Ephemeroptera,1,,,,object_501,0.681842377269407,0.201144629584418,0.021212824596985036,0.027943454318577005,machine,Diopsis 2025,,0.765804648399353,"{body_length_mm: 5.62882416719983}, {biomass_mg: 1.03435130063591}"
4994468f-205a-4050-9df9-9bc3f632be9a,DIOPSIS-231_Boer5_-_Controle_1,2897ddef-ace1-4ff8-a963-5a11e46d67fd,,2025-06-09T23:34:26,2025-06-09T23:34:26,detection,unknown,Chironomidae,1,,,,object_1772,0.0483245085396233,0.594176364474826,0.044676256896259404,0.05934258355034794,machine,Diopsis 2025,,0.333090047041575,"{body_length_mm: 5.57533604655755}, {biomass_mg: 2.75305009390366}"
b8f9ecef-62e4-4d75-a59e-7721b7619915,DIOPSIS-231_Boer5_-_Controle_1,2897ddef-ace1-4ff8-a963-5a11e46d67fd,,2025-06-09T23:34:26,2025-06-09T23:34:26,detection,animal,Chironomidae,1,,,,object_1773,0.0,0.798437364366319,0.0444864072465339,0.070554538302952,machine,Diopsis 2025,,0.984161853790283,"{body_length_mm: 11.8359846747798}, {biomass_mg: 19.9364951484242}"
